"","n_pokoj","metrarz","cena_m2","rok","dzielnica"
"1",3,89,5270,2007,"Krzyki"
"2",4,163,6687,2002,"Psie Pole"
"3",3,52,6731,1930,"Śródmieście"
"4",4,95.03,5525,2016,"Krzyki"
"5",4,88,5216,1930,"Śródmieście"
"6",2,50,5600,1915,"Krzyki"
"7",2,48,9146,2010,"Fabryczna"
"8",3,81,4185,NA,"Krzyki"
"9",2,46,9761,2011,"Stare Miasto"
"10",3,67,5209,1990,"Fabryczna"
"11",2,45.8,6878,2000,"Krzyki"
"12",3,48,6021,NA,"Krzyki"
"13",3,75,5066,NA,"Krzyki"
"14",3,76,8684,1930,"Psie Pole"
"15",1,24.5,6327,2016,"Krzyki"
"16",2,47.41,3586,1930,"Krzyki"
"17",2,61.34,4711,NA,"Śródmieście"
"18",3,65,5369,1990,"Psie Pole"
"19",4,101,4941,NA,"Krzyki"
"20",4,95.03,5525,NA,"Krzyki"
"21",4,122.68,5054,NA,"Krzyki"
"22",1,30,8100,2003,"Krzyki"
"23",1,22,8409,1989,"Krzyki"
"24",1,27,8111,2016,"Fabryczna"
"25",2,39.36,5716,1970,"Fabryczna"
"26",2,48.69,5319,NA,"Fabryczna"
"27",3,47,6340,1980,"Śródmieście"
"28",3,52,6154,1930,"Fabryczna"
"29",3,51,5882,1985,"Krzyki"
"30",3,63,6968,1930,"Śródmieście"
"31",1,31,4613,NA,"Fabryczna"
"32",2,50,5260,NA,"Krzyki"
"33",2,36,5972,1985,"Fabryczna"
"34",3,68.41,6870,2013,"Krzyki"
"35",1,26.5,7358,1983,"Psie Pole"
"36",4,80,5363,1995,"Fabryczna"
"37",2,47.7,4591,1980,"Psie Pole"
"38",2,51.7,5996,1930,NA
"39",3,56.78,6675,1975,"Fabryczna"
"40",1,40.65,6396,NA,"Śródmieście"
"41",2,45.07,5303,1955,"Śródmieście"
"42",3,95.34,4277,2015,"Fabryczna"
"43",3,94.86,4671,2015,"Fabryczna"
"44",3,57.56,5869,2017,NA
"45",2,47,6064,1936,"Psie Pole"
"46",2,55,5000,2005,"Psie Pole"
"47",2,33,6909,1980,"Fabryczna"
"48",4,87.8,4897,2011,"Krzyki"
"49",3,66.7,5232,1935,"Psie Pole"
"50",2,49.69,5937,2009,"Psie Pole"
"51",5,80,4988,1980,NA
"52",2,50,6040,1987,NA
"53",3,51.63,7341,1936,"Śródmieście"
"54",2,50,6400,NA,"Krzyki"
"55",3,64,5781,1981,"Fabryczna"
"56",3,47,6340,NA,"Śródmieście"
"57",3,82,5110,NA,"Krzyki"
"58",4,90,5322,1997,"Krzyki"
"59",2,53,5264,2007,"Krzyki"
"60",4,95,4621,1920,"Śródmieście"
"61",4,80,5875,2006,"Fabryczna"
"62",1,25,5160,2017,"Fabryczna"
"63",4,76,5697,NA,"Fabryczna"
"64",2,55,6364,2016,"Fabryczna"
"65",2,32.81,7284,NA,"Krzyki"
"66",1,37.2,5780,2011,"Fabryczna"
"67",2,42.74,6294,1904,"Krzyki"
"68",2,54,4796,1930,"Krzyki"
"69",3,67,5806,1986,"Krzyki"
"70",3,58.63,6976,2016,"Fabryczna"
"71",3,54,6185,1978,"Śródmieście"
"72",2,55,5436,2005,"Krzyki"
"73",3,66.41,6385,2016,"Fabryczna"
"74",3,60.64,6580,2016,"Fabryczna"
"75",2,52.5,7600,2008,"Psie Pole"
